Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
27;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Feminino;Branca;Rio Grande do Sul (RS);Sul;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Economista;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;Paraná (PR);Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Feminino;Branca;Bahia (BA);Nordeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Somente Estudante (pós-graduação);;;;
23;22-24;Masculino;Preta;Rio Grande do Sul (RS);Sul;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;de 1 a 2 anos
26;25-29;Masculino;Branca;Mato Grosso (MT);Centro-oeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
33;30-34;Masculino;Amarela;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24;22-24;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Feminino;Branca;Rio de Janeiro (RJ);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
