Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
27;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outra opção;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Feminino;Parda;Minas Gerais (MG);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Outra Opção;de R$ 1.001/mês a R$ 2.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Masculino;Branca;Goiás (GO);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
44;40-44;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;de 3 a 4 anos
38;35-39;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Outra Opção;Acima de R$ 40.001/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Feminino;Branca;Amazonas (AM);Norte;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;de 3 a 4 anos
25;25-29;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 1 a 2 anos
31;30-34;Masculino;Branca;Distrito Federal (DF);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;de 1 a 2 anos
25;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35;35-39;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de BI/BI Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;de 5 a 6 anos
25;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;de 1 a 2 anos
19;17-21;Masculino;Preta;São Paulo (SP);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Trabalho na área Acadêmica/Pesquisador;;;;
29;25-29;Masculino;Preta;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analytics Engineer;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;de 1 a 2 anos
37;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Mais de 10 anos
27;25-29;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 2.001/mês a R$ 3.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Feminino;Parda;Paraíba (PB);Nordeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);;de R$ 6.001/mês a R$ 8.000/mês;Mais de 10 anos;de 3 a 4 anos
42;40-44;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;de 1 a 2 anos
25;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Não tenho graduação formal;;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
37;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Mestrado;Química / Física;Empreendedor ou Empregado (CNPJ);;de R$ 25.001/mês a R$ 30.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24;22-24;Masculino;Parda;Maranhão (MA);Nordeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Engenheiro de Machine Learning/ML Engineer/AI Engineer;de R$ 1.001/mês a R$ 2.000/mês;de 1 a 2 anos;de 1 a 2 anos
38;35-39;Masculino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Química / Física;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Masculino;Parda;Ceará (CE);Nordeste;Estudante de Graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano
25;25-29;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30;30-34;Masculino;Branca;Bahia (BA);Nordeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outra opção;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;Santa Catarina (SC);Sul;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Masculino;Parda;Minas Gerais (MG);Sudeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Menos de 1 ano
24;22-24;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30;30-34;Masculino;Branca;Espírito Santo (ES);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Menos de 1 ano
39;35-39;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Suporte/Analista Técnico;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 3 a 4 anos
18;17-21;Feminino;Parda;Espírito Santo (ES);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Somente Estudante (graduação);;;;
27;25-29;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24;22-24;Feminino;Preta;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 1 a 2 anos
39;35-39;Masculino;Branca;Distrito Federal (DF);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;;de R$ 20.001/mês a R$ 25.000/mês;Menos de 1 ano;de 7 a 10 anos
35;35-39;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Mais de 10 anos
44;40-44;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Menos de 1 ano
55;55+;Feminino;Amarela;Distrito Federal (DF);Centro-oeste;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Desempregado, buscando recolocação;;;;
42;40-44;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Mais de 10 anos
26;25-29;Feminino;Branca;Rio Grande do Sul (RS);Sul;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Parda;Sergipe (SE);Nordeste;Estudante de Graduação;Outra opção;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 5 a 6 anos;de 5 a 6 anos
35;35-39;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Feminino;Branca;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Menos de 1 ano
41;40-44;Feminino;Branca;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;de 7 a 10 anos
44;40-44;Feminino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;
45;45-49;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 30.001/mês a R$ 40.000/mês;Mais de 10 anos;de 7 a 10 anos
32;30-34;Feminino;Parda;Bahia (BA);Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;de 7 a 10 anos
25;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Química / Física;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
50;50-54;Masculino;Parda;Distrito Federal (DF);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 20.001/mês a R$ 25.000/mês;de 7 a 10 anos;Mais de 10 anos
33;30-34;Masculino;Branca;Santa Catarina (SC);Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Analytics Engineer;de R$ 25.001/mês a R$ 30.000/mês;de 7 a 10 anos;Mais de 10 anos
30;30-34;Feminino;Preta;São Paulo (SP);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;de 5 a 6 anos
32;30-34;Masculino;Branca;Santa Catarina (SC);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;de 7 a 10 anos
37;35-39;Masculino;Branca;Ceará (CE);Nordeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 8.001/mês a R$ 12.000/mês;Não tenho experiência na área de dados;de 5 a 6 anos
36;35-39;Feminino;Branca;Pernambuco (PE);Nordeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Menos de 1 ano
23;22-24;Feminino;Preta;Paraná (PR);Sul;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Engenheiro de Machine Learning/ML Engineer/AI Engineer;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
37;35-39;Masculino;Branca;Minas Gerais (MG);Sudeste;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;
39;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;de 5 a 6 anos
29;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;de 3 a 4 anos
26;25-29;Feminino;Branca;Minas Gerais (MG);Sudeste;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Somente Estudante (pós-graduação);;;;
32;30-34;Masculino;Parda;Distrito Federal (DF);Centro-oeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;;de R$ 16.001/mês a R$ 20.000/mês;de 1 a 2 anos;Mais de 10 anos
35;35-39;Masculino;Parda;São Paulo (SP);Sudeste;Não tenho graduação formal;;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33;30-34;Masculino;Parda;Bahia (BA);Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 7 a 10 anos
39;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Preta;Paraíba (PB);Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;Mais de 10 anos
23;22-24;Masculino;Parda;Pernambuco (PE);Nordeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;
31;30-34;Feminino;Branca;Amazonas (AM);Norte;Mestrado;Outra opção;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
69;55+;Masculino;Branca;São Paulo (SP);Sudeste;Doutorado ou Phd;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Professor/Pesquisador;de R$ 20.001/mês a R$ 25.000/mês;Mais de 10 anos;de 1 a 2 anos
26;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 1 a 2 anos
27;25-29;Feminino;Parda;Paraná (PR);Sul;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Menos de 1 ano
30;30-34;Feminino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33;30-34;Feminino;Branca;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;
23;22-24;Masculino;Parda;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
34;30-34;Masculino;Parda;Espírito Santo (ES);Sudeste;Mestrado;Outras Engenharias;Servidor Público;Outras Engenharias (não inclui dev);de R$ 2.001/mês a R$ 3.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
21;17-21;Feminino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Analista de Negócios/Business Analyst;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Feminino;Branca;Rio Grande do Sul (RS);Sul;Doutorado ou Phd;Outra opção;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Menos de 1 ano
21;17-21;Masculino;Amarela;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Engenheiro de Machine Learning/ML Engineer/AI Engineer;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;de 1 a 2 anos
36;35-39;Feminino;Branca;Santa Catarina (SC);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;
32;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analytics Engineer;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Menos de 1 ano
24;22-24;Masculino;Parda;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Menos de 1 ano
34;30-34;Masculino;Branca;Bahia (BA);Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;de 3 a 4 anos
37;35-39;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 30.001/mês a R$ 40.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Masculino;Parda;Pernambuco (PE);Nordeste;Mestrado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38;35-39;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 25.001/mês a R$ 30.000/mês;Mais de 10 anos;Mais de 10 anos
30;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;de 3 a 4 anos
31;30-34;Masculino;Parda;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;de 1 a 2 anos
28;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41;40-44;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;de 3 a 4 anos
49;45-49;Feminino;Preta;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;
26;25-29;Masculino;Amarela;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41;40-44;Masculino;Parda;Distrito Federal (DF);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Outra Opção;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Mais de 10 anos
22;22-24;Feminino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Outras Engenharias;Estagiário;Analista de BI/BI Analyst;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33;30-34;Masculino;Branca;Bahia (BA);Nordeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Mais de 10 anos
